front,back,front_color,back_color,attemps,correct
What experiment can be done to investigate the penetration power of different radioactive sources?,"<ul><li>Before beginning, measure the background radiation by leaving the detector without any sources present.</li><li>Place a source at a fixed distance from the detector, then measure the counts when air and other different materials are placed between the counter and the source.</li><li>Attempt with a source of alpha, beta and gamma radiation.</li></ul>",,,0,0
"How can alpha, beta+, beta- and gamma radiation be distinguished by a uniform electric field?","Beta+ radiation will be attracted to the negative plate. Beta- radiation will be attracted to the positive plate. Alpha radiation is attracted to the negative plate, but (if moving) will collide further along the plate due to higher mass. Gamma radiation will be unaffected.",,,0,0
"How can alpha, beta+, beta- and gamma radiation be distinguished using a magnetic field?","Charged particles move with circular motion in a magnetic field. The direction of a charged particle moving in a magnetic field can be determined using flemings left hand rule, for a positively charged particle. Beta+ will be more strongly deflected than Alpha due to the lower mass. Beta- particles will move in the opposite direction to positive charged particles. Gamma particles will be unaffected.",,,0,0
What safety precautions should be taken when working with radioactive sources?,"<ul><li>When not in use, store the sources in lead-lined containers to reduce emission of ionising radiation.</li><li>Wear gloves when handling radioactive material (so skin is not exposed)</li><li>Use tongs to handle material, do not touch it directly.</li></ul>",,,0,0
Why does radioactive decay occur?,"Every atom seeks to be as stable as possible. An instability is caused by having an imbalance of protons and neutrons. Radioactive decay allows an atom to change its ratio of protons and neutrons, and become stable.",,,0,0
What is the band of stability?,"When plotting a graph of neutron number against proton number, stable atoms lie along a band of stability. Nuclei with a higher proton number are B- emitters. Neutron rich atoms tend to be B+ emitters. Atoms with too large of an atomic number tend to be alpha emitters.",,,0,0
What does random mean in the context of radioactive decay?,"Random means it is impossible to say exactly which nuclei is going to decay next, or how long a nucleus has until it will decay.",,,0,0
What does spontaneous mean in the context of radioactive decay?,Spontaneous means that the rate of decay cannot be changed by external factors such as pressure or temperature.,,,0,0
What is the definition of activity?,Activity is the rate of decay of a radioactive source.,,,0,0
What is the decay constant?,The decay constant of a substance/nucleus is the probability of decay of a single nucleus per unit time.,,,0,0
What is the equation for activity in terms of undecayed nuclei?,"A = λN<br>A = activity (Bq), λ = decay constant, N = number of undecayed nuclei.",,,0,0
How does activity/number of undecayed nuclei change over time?,Activity / number of undecayed nuclei decays exponentially over time.<br>N = N₀exp(-λt)<br>A = A₀exp(-λt),,,0,0
How is half-life related to the decay constant?,Half life = ln(2)/λ,,,0,0
What experiment can be done to find the half-life of a radioactive source?,"Using a fast-decaying source, first record the level of background radiation, then record the count rate every 10 seconds in the presence of the source. Plot a graph of ln(count rate / initial rate) over time. Gradient = -decay constant, this can be used to find the half-life.",,,0,0
How does carbon dating work?,"<ul><li>Cosmic rays from the sun can cause nitrogen to form carbon-14, which is radioactive.</li><li>Carbon used in photosynthesis for plants/trees, plants eaten by amimals/humans. (the radioactive carbon ends up in living organisms)</li><li>Carbon-14 has a half life of around 5700 years, so by comparing the amount of carbon-14 in a sample with the normal level of carbon-14, you can estimate the age.</li></ul>",,,0,0
What are the limitations of carbon dating?,"<ul><li>Only works for things that were once alive.</li><li>Assumes that the level of carbon in the atmosphere has remained constant since the thing died.</li><li>Only works for things reasonably within the half-life of carbon-14 (=5700 years), so cannot be used for million-year-old items.</li></ul>",,,0,0
What is the mass energy equivalence equation?,E = mc²,,,0,0
What are the two ways to interpret the mass-energy equivalence?,"<ol><li>Energy has mass - the change in mass is equal to the change in energy. A moving ball has a greater mass than a stationary ball for example.</li><li>Mass is a form of energy - for example an electron-positron pair can annihilate to produce two gamma photons, converting mass into energy.</li></ol>",,,0,0
Why does the total mass of the system reduce during radioactive decay?,"Energy is released during radioactive decay, due to conservation of mass/energy, some mass must've been converted to energy → mass is lost.",,,0,0
What is the mass defect?,"Mass defect (Δm) is the difference in mass between the separated nucleons of a nucleus, and the combined mass of the nucleus.",,,0,0
What is binding energy?,The binding energy is the minimum external energy needed to completely separate all the nucleons of a nucleus into its constituent protons and neutrons.,,,0,0
How can you calculate binding energy?,Using Einstein's mass-energy equivalence:<br>E = mc²<br>Where mass = mass defect<br>Binding energy = (Δm)c²,,,0,0
"What is binding energy per nucleon, and what does it measure?",Binding energy per nucleon is the binding energy of a nucleus divided by the number of nucleons. A greater binding energy per nucleon means the nucleons are more tightly bound in the nucleus.,,,0,0
Which element is the most stable and why?,Iron is the most stable element as it has the highest binding energy per nucleon.,,,0,0
Why does a graph of binding energy per nucleon against nucleon number have a peak at iron?,"It peaks at iron because:<br><ul><li>For lighter elements, energy can be released by fusion as more work is done by the strong nuclear force than opposed by the electrostatic force.</li><li>For heavier elements, energy can be released by fission as the electrostatic force dominates over the strong nuclear force.</li></ul>",,,0,0
Why is energy released during fission?,"When a nucleus undergoes fission, it splits into two smaller nuclei, which restructure to form a more tightly bound configuration, which releases energy due to the change in mass.",,,0,0
Why is energy released during fusion?,"During fusion, two lighter nuclei fuse to make one heavier nucleus. If the final configuration has a lower binding energy than the sum of the two lighter nuclei's binding energies, then that difference in energy is what is released.",,,0,0
What is the difference between spontaneous and induced fission?,Spontaneous fission occurs when radioactive nuclei split into lighter nuclei. Induced fission is when a nucleus is split by another inciting particle (e.g. neutron) to trigger the decay.,,,0,0
What are thermal neutrons and what do they do?,A thermal neutron is a neutron that is used to induce a fission reaction in a nuclear reactor. It is called a thermal neutron as it is in thermal equilibrium with the reactor core. (Also known as a slow neutron as it has KE similar to the particles of the reactor core).,,,0,0
In what forms is energy released in a fission reaction?,"Most is released as kinetic energy in the smaller nuclei and neutrons, some is released as gamma photons and neutrinos.",,,0,0
What is meant by a chain reaction?,"A chain reaction is when there is an exponential decrease in the number of decays taking place, due to the previous reactions inducing further reactions.",,,0,0
What are the different parts of a nuclear reactor and what are their purposes?,"<ul><li>Fuel rods - consist of enriched uranium, mostly U238, with 2-3% enriched U235.</li><li>Moderator - slows down the released neutrons from decay so that they can induce further reactions (fast neutrons will bounce off of the uranium nuclei). Usually made of carbon or water.</li><li>Control rods - made of a material that absorbs neutrons, such as boron or cadmium. The rods can be lowered into the reactor core to slow down the rate of reaction, aiming to absorb around 2/3 of the neutrons produced (so only one neutron goes on to start another reaction from the neutrons produced.</li><li>Coolant - Used to remove thermal energy produced during the fission reaction. In a pressurised water reactor, the water is both the moderator and the coolant.</li></ul>",,,0,0
What is nuclear fusion?,Nuclear fusion is the process of combining lighter nuclei into a heavier nucleus.,,,0,0
Why is energy released during a fusion reaction?,"When the atoms fuse, the mass of the heavier nucleus is less than the sum of the masses of the lighter nuclei. The difference in mass (mass defect) is where the released energy comes from, can be calculated using the mass-energy equivalence equation.",,,0,0
Why is a high temperature needed for nuclear fusion?,"At low temperatures, the nuclei do not have enough kinetic energy to overcome the electrostatic repulsion. At higher temperatures, the kinetic energy is great enough for them to get within the range of the strong nuclear force, which causes the nuclei to fuse.",,,0,0
Why are there no fusion reactors that produce electricity?,"<ul><li>It is very hard to maintain the high temperatures.</li><li>It is very hard to confine the nuclear fuel.</li><li>Hence, no technology exists yet to make it possible.</li></ul>",,,0,0
