front,back,front_color,back_color,attemps,correct
What is the Von Neumann Architecture?,"The von Neumann architecture is a way to organise a computer system. It has a processor connected to different components (main memory, secondary, storage, i/o) using buses.<br>Programs and data are stored in *the same* memory.<br>Von Neumann is used commonly in general purpose computers.",,,0,0
What is the Harvard Architecture?,"The Harvard architecture is a way to organise a computer system. It has a processor connected to different components (data memory, instruction memory, secondary, storage, i/o) using buses.<br>Programs and data are stored in *different* memory, called data memory and instruction memory.<br>Harvard is commonly used in micro controllers and digital signal processing.",,,0,0
What are the advantages and disadvantages of the Harvard architecture?,"Harvard:<br><ul><li>(+) Separate buses for instruction memory and data memory, which reduces waiting time for instructions to run.</li><li>(+) Can use different bus sizes or technologies for each memory, e.g. instructions can be read-only to prevent changing instructions.</li><li>(-) Only can be used in specific, performance oriented scenarios.</li><li>(-) Only works well for computers that run a single program.</li></ul>",,,0,0
What are the advantages and disadvantages of the von Neumann architecture?,"Von Neumann:<br><ul><li>(+) Allows for programs to be run that are not known when the computer is made.</li><li>(+) Can run many different programs.</li><li>(-) Shared data bus for data and instructions, can be slower to access.</li><li>(-) Data and instructions are on the same memory, can open the door for hacking.</li></ul>",,,0,0
What is digital signal processing? How does it work?,"Digital signal processing is continuously monitoring an analogue signal, and converting it to a digital signal to feed into a wider system.<br>Examples include digital/automated thermostats.<br>Process of DSP:<br><ul><li>Signal is recorded and converted to digital by ADC.</li><li>Digital signal is written into memory buffer.</li><li>Memory is then read by a processor to process the digital signal.</li></ul>",,,0,0
Why is the Harvard architecture preferred for digital signal processing?,"Harvard Benefits:<br><ul><li>Digital signal processing only has one objective/one program, which is to process signals. Therefore, the loaded program will never change, and having a separate instruction memory makes sense.</li><li>The memory buffer containing the digital signal needs to be read as fast as possible. Having a dedicated data buffer and instruction buffer will allow the instruction and data to be accessed in parallel, leading to a massive increase in speed.</li><li>The instruction memory can be made read-only, making it less vulnerable to attack.</li></ul>Von Neumann Drawbacks:<br><ul><li>Instructions and data are accessed sequentially, this is slower and has a variable latency. This makes it unsuitable for real-time loops and precise timing.</li><li>The program must be loaded into memory each time the device is turned on, this would add increased complexity rather than having a dedicated instruction memory.</li></ul>",,,0,0
Why is secondary storage usually needed in a computer?,"<ul><li>The contents of main memory is lost when the computer is turned off, so secondary storage allows data to be retained when the computer is off.</li><li>Secondary storage allows for applications to be stored that are larger than the size of main memory.</li><li>Allows data to be transported between computers (portability).</li></ul><br>Some other points for 12 markers:<ul><li>Allows users to create backups of data.</li><li>Read-only memory cannot be (easily) overwritten, though it is non-volatile it cannot be updated to fix security vulnerabilities in software for example.</li><li>Can store files locally if the user does not wish to use cloud storage.</li></ul>",,,0,0
What different properties of secondary storage can you compare?,You could compare:<ul><li>Cost per gigabyte / capacity.</li><li>Read write speeds.</li><li>Durability.</li><li>Lifespan.</li><li>Size / portability.</li></ul>,,,0,0
What is the principle of operation of a solid state drive (SSD)?,"Physical construction:<br><ul><li>Data is stored electronically with no moving parts.</li><li>Each bit is stored on NAND flash memory, this uses floating gate transistors.</li><li>Floating gate transistors work by trapping electrons between two metal oxide layers.</li><li>If an electron is trapped, this is read as 1, if no electron is trapped this is a 0.</li><li>Data is stored in blocks.</li></ul>Function:<br><ul><li>Data is stored in large blocks.</li><li>A block must be written all at once, e.g. individual bits cannot be written.</li><li>To overwrite data, the entire block needs to be cleared and the data rewritten with the changes.</li></ul>",,,0,0
Principle of operation of a magnetic disk drive (HDD)?,"Physical construction:<br><ul><li>Made of a stack of disks called a platter.</li><li>Disks store data and rotate at a high speed.</li><li>Disks are coated in a magnetisable material.</li><li>Has a read/write that is sensitive to magnetic fields.</li><li>A change in magnetic field stores a 1, a constant magnetic field stores a 0.</li><li>Read/write head moves radially across the disks.</li><li>Disks store data on different tracks that the read/write head can move across and access.</li></ul>Function:<br><ul><li>Data is stored in large blocks that are read/written all at once.</li><li>Read/write head converts analogue signal from disk into a digital signal.</li></ul>",,,0,0
What is the principle of operation of an optical disk (CD)?,"<ul><li>Data is stored using lands/pits on the disk. A pit is an area that is lower than the rest of the disk surface.</li><li>The disk drive has a laser that shines into a prism and reflects into the disk.</li><li>If the beam hits a land or a pit, it is reflected back into the prism and detected by a photosensitive receiver - recorded as a 1.</li><li>If the beam hits a boundary between land and pit, it will be scattered and the detector will not receive the laser light - recorded as a 0.</li><li>The data is stored sequentially, spiraling out from the centre.</li></ul>",,,0,0
What are the advantages and disadvantages of using solid state drives?,"Advantages:<br><ul><li>Super fast access speeds and low latency</li><li>Low power consumption / highly efficient</li><li>Doesn't get too hot</li><li>Small size (portable)</li><li>Durable (shock resistant)</li><li>Silent operation</li><li>NOTE: the advantages all stem from having no moving parts</li></ul>Disadvantages:<br><ul><li>High cost per gigabyte, so tends to have lower capacity</li><li>Lower lifespan as the metal oxide degrades, can lead to data loss.</li></ul>",,,0,0
What are the advantages and disadvantages of magnetic disk drives (HDD)?,"Advantages:<br><ul><li>Lower cost per gigabyte compared to solid state drives, so tends to have more capacity.</li><li>Longer data retention lifespan.</li></ul>Disadvantages:<br><ul><li>High latency due to movement of read/write head and disk rotation.</li><li>Loud operation, energy inefficient.</li><li>Easily damaged if dropped.</li><li>Can be affected by magnetic fields.</li><li>Larger size.</li></ul>",,,0,0
What are the advantages and disadvantages of optical disks (CDs)?,"Advantages:<br><ul><li>Very small, very portable.</li><li>Very cheap to produce.</li></ul>Disadvantages:<br><ul><li>Small capacity.</li><li>Easily broken or scratched.</li><li>Slow read/write speed</li></ul>",,,0,0
What are the different types of CD and how does each one store data?,"CD-ROM:<br>Data is stored as lands and pits. The data is burnt permanently into the CD in the factory when it was produced.<br>Recordable CDs:<br>Data is stored using an opaque dye, the CD can be burnt using a laser that can burn the dye to store data.<br>Rewriteable CDs:<br>Data is stored using a phase-change alloy. A laser can burn the CD by melting the alloy, and a magnet can be used to reset the CD and allow for it to be written again (a limited number of times).",,,0,0
What is machine code?,Machine code is a sequence of instructions that can be understood directly by a processor.,,,0,0
Why is machine code not very portable?,"Machine code is stored as a sequence of instructions. However, different processors have different instruction sets, so not all processors can understand the same machine code.",,,0,0
What is a register?,A register is a memory location inside a processor.,,,0,0
What is the difference between a register and a bus?,"A register is used to store a value, a bus only stores a value transiently and is used instead to transfer data between different parts of the computer.",,,0,0
What information can be contained in the operand?,The operand of an instruction can contain:<br><ul><li>An immediate value</li><li>A register</li><li>A memory location</li></ul>,,,0,0
What information is stored in the opcode?,"The opcode of an instruction contains:<br><ul><li>The type of instruction e.g. AND, CMP, LSL</li><li>The addressing mode, e.g. immediate addressing, direct addressing</li></ul>",,,0,0
What is the volatile environment? Why does it need to be preserved while an ISR is carried out?,"The volatile environment is the contents of all the registers in the processor.<br>When an interrupt service routine (ISR) is carried out, it will suspend the current process, and overwrite the registers during its execution. You need to store the volatile environment so you can restore it once the ISR is complete in order to resume execution of the original process.",,,0,0
What is an interrupt and what purpose do they serve?,"An interrupt is a signal/flag set in the status register. Its purpose is to request the immediate attention of the processor, whether for an I/O device or an urgent error, so that a response (using an interrupt service routine) can be carried out. It will suspend execution of the current process until the ISR is complete.",,,0,0
What factors affect CPU performance?,Factors affecting CPU performance:<br><ul><li>Clock speed</li><li>Number of cores</li><li>Cache size</li><li>Word size</li><li>Bus width</li></ul>,,,0,0
Why does increasing the cache size improve CPU performance?,"A larger cache allows more data to be stored. This increases the probability that the data to be fetched by the CPU is stored in cache. As cache has a faster access rate than RAM, more fetches from cache will improve the performance of the processor.",,,0,0
Why does increasing the word size of a CPU improve the performance?,A larger word size means that more data can be transferred within the CPU in a single instruction. This means less instructions are needed to transfer the same amount of data - this lets the CPU run faster.,,,0,0
Why does increasing the bus widths of a CPU/computer improve performance?,"A wider bus (with more bits/lanes) will allow a greater amount of data to be carried per instruction. This means less instructions are needed to carry the same amount of data, leading to better performance.",,,0,0
In what scenario does increasing the number of cores improve processor performance?,Increasing the number of cores in a processor will have the greatest effect for computers that do a great deal of parallel processing (e.g. servers).,,,0,0
What are the different buses in a computer and what does each one carry?,<ul<li>Data bus - carries data to and from main memory.</li><li>Address bus - carries an address that dictates what memory address data is fetched/stored at</li><li>Control bus - used by the control unit to send signals to different devices/components</li></ul>,,,0,0
Why are buses bi-directional?,"To fetch from memory, the data bus is used to retrieve the contents of memory into the MBR. To store in memory, the data bus is used to carry the data to be stored from the CPU to main memory. The data bus needs to be bi-directional to support both of these actions.",,,0,0
What are all the different CPU registers?,"<ul><li>Memory Address Register (MAR)</li><li>Memory Buffer Register (MBR)</li><li>General Purpose Registers (R0, R1, etc)</li><li>Program Counter (PC)</li><li>Current Instruction Register (CIR)</li><li>Status Register (SR)</li></ul>",,,0,0
Why is the current instruction register (CIR) needed?,"During FDE cycle, the instruction to be executed is first stored in the memory buffer register. The instruction may require another piece of data from memory, or need to store in main memory, in which case the MBR will be overwritten. The CIR is used to store the instruction so that the control unit can access the instruction after the MBR is (potentially) overwritten.",,,0,0
What is the purpose of the program counter (PC)?,"The program counter's purpose is to store the address of the next instruction. For each loop of the FDE cycle, the PC is incremented by 1. It can also be changed by using branch instructions.",,,0,0
What is the purpose of the status register?,The status register stores information about the last executed arithmetic/logic instruction or conditional branch operation. A flag in the status register is also set when an interrupt occurs.,,,0,0
What are the different parts of the CPU?,<ul><li>Control unit</li><li>Arithmetic-logic unit</li><li>Registers</li><li>Buses</li><li>Cache</li></ul>,,,0,0
What are the different addressing modes for an instruction?,"Immediate addressing is the use of data directly, for example ""ADD, R0, #10, #20""<br>Direct addressing is the use of registers instead of raw data, for example ""ADD R0, R1, R2""",,,0,0
What is the role of the control unit?,"The control unit's role is to organise ""micro-operations"" so that they occur in the correct order. Some ""micro-operations"" include:<br><ul><li>Send control signals to devices</li><li>Decode instructions in the CIR into opcode and operand, and determine type of instruction</li><li>Handle interrupts</li><li>Control operation of the FDE cycle</li><li>Control read/store operations</li><li>Synchronise operation of the processor (synchronise clocks)</li></ul>",,,0,0
